Field=Designator~String~Designator~92|Field=Quantity~Integer~Quantity~45|Field=Supplier Part Number 1~String~Supplier Part Number 1~97|Field=Manufacturer Part Number~String~Manufacturer Part Number~109|Field=Comment~String~Comment~126|Field=Description~String~Description~105|Field=Layer~String~Layer~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Gas_Sampler.PrjPcb|ReportField=ProjectFullPath~C:\mikeprojects\altium\Projects\SilverLining\Gas_Sampler\Gas_Sampler.PrjPcb|ReportField=Title~BOM With Sides For Project [Gas_Sampler.PrjPcb] (PCB Document : Gas_Sampler-PCB.PcbDoc)|ReportField=TotalQuantity~123|ReportField=ReportTime~9:45:39 AM|ReportField=ReportDate~1/24/2024|ReportField=ReportDateTime~1/24/2024 9:45:39 AM|ReportField=OutputName~BOM With Sides|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~120 E Church Ave Suite B|ReportField=Address2~Ridgecrest CA, 93555|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~Approved Name|ReportField=AssyNum~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~1/24/2024|ReportField=CurrentTime~9:44:36 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\mikeprojects\altium\Projects\SilverLining\Gas_Sampler\Gas_Sampler-Top.SchDoc|ReportField=DocumentName~Gas_Sampler-Top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Mike Licitra|ReportField=FabNumber~|ReportField=ImagePath~|ReportField=ModifiedDate~1/10/2024|ReportField=Organization~Sensible Robotics LLC|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.98|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=15|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=Tabloid|PrintScaleMode=1|ReportField=ProjectName~Gas_Sampler.PrjPcb|ReportField=Revision~0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Document Title|ReportField=DataSourceFileName~Gas_Sampler.PrjPcb|ReportField=DataSourceFullPath~C:\mikeprojects\altium\Projects\SilverLining\Gas_Sampler\Gas_Sampler.PrjPcb|ReportField=PCBDataSourceFileName~Gas_Sampler-PCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\mikeprojects\altium\Projects\SilverLining\Gas_Sampler\Gas_Sampler-PCB.PcbDoc
C1, C5, C8, C20, C22, C23, C24, C25, C27, C29, C32, C33, C37|13|445-5666-1-ND|CGA3E2X7R1H104K080AA|CAP_CER_0603_0.1UF_50V_10%_X7R|CAP CER 0.1UF 50V 10% X7R 0603|Top
C2, C3, C16, C17, C18, C26, C34|7|445-6853-1-ND|C1608X5R1A106M080AC|CAP_CER_0603_10UF_10V_20%_X5R|CAP CER 10UF 10V X5R 0603|Top
C4, C30, C31, C39|4|P12704-ND|EEU-FC0J471|CAP_ALUM_470UF_6.3V_20%_RADIAL_8X11.5MM|CAP ALUM 470UF 6.3V 20% RADIAL|Top
C6, C7|2|445-8045-1-ND|C3216X5R1V226M160AC|CAP_CER_1206_22UF_35V_20%_X5R|CAP CER 22UF 35V X5R 1206|Top
C9, C10|2|445-9077-1-ND|C1608X5R1A226M080AC|CAP_CER_0603_22UF_10V_20%_X5R|CAP CER 22UF 10V 20% X5R 0603|Top
C11|1|1276-2299-1-ND|CL10C470JC8NNNC|CAP_CER_0603_47PF_100V_5%_NP0|CAP CER 47PF 100V C0G/NP0 0603|Top
C12|1|445-5649-1-ND|CGA3E2C0G1H561J080AA|CAP_CER_0603_560PF_50V_5%_NP0|CAP CER 560PF 50V 5% NP0 0603|Top
C13, C14|2|445-14428-1-ND|C2012X5R1V226M125AC|CAP_CER_0805_22UF_35V_20%_X5R|CAP CER 22UF 35V 20% X5R 0805|Top
C15|1|399-13679-ND|A750KK107M1EAAE040|CAP_POLYMER_100UF_25V_20%_8X9MM_TH|CAP ALUM POLY 100UF 20% 25V T/H|Top
C19, C28, C35, C38|4|445-12539-1-ND|CGA3E1X7R1C105K080AC|CAP_CER_0603_1UF_16V_10%_X7R|CAP CER 1UF 16V 10% X7R 0603|Top
C21|1|445-5651-1-ND|CGA3E2C0G1H821J080AA|CAP_CER_0603_820PF_50V_5%_C0G/NP0|CAP CER 820PF 50V C0G 0603|Top
C36|1|P11218-ND|EEU-FC1E271|CAP_ALUM_270UF_25V_20%_RADIAL_10X12.5MM|CAP ALUM 270UF 20% 25V RADIAL|Top
CN1|1|455-1848-ND|S03B-PASK-2(LF)(SN)|FLOW|CONN HEADER PA 3POS SIDE 2MM TIN|Top
CN2, CN7|2|455-1849-ND|S04B-PASK-2(LF)(SN)|I2C PUMP, CO2 SENSOR|CONN HEADER PA 4POS SIDE 2MM TIN|Top
CN3|1|455-1847-ND|S02B-PASK-2(LF)(SN)|PUMP|CONN HEADER PA 2POS SIDE 2MM TIN|Top
CN4|1|A30796-ND|3-641216-4|NOAA|CONN HEADER VERT 4POS 2.54MM|Top
CN5|1|S9204-ND|SFH11-PBPC-D08-RA-BK|RFD900||Top
